Qext,Qsca,Qabs
2.856151047,1.27659966,1.579551388
2.855882755,1.276933198,1.578949557
2.855606028,1.277258005,1.578348022
2.855321175,1.27757419,1.577746985
2.855028503,1.277881864,1.577146639
2.854728318,1.278181139,1.576547179
2.854420924,1.27847213,1.575948795
2.854106626,1.278754954,1.575351673
2.853785725,1.279029729,1.574755996
2.853458522,1.279296576,1.574161946
2.853125313,1.279555616,1.573569697
2.852786397,1.279806974,1.572979423
2.852442065,1.280050773,1.572391292
2.85209261,1.28028714,1.57180547
2.851738321,1.280516203,1.571222118
2.851379482,1.28073809,1.570641392
2.851016378,1.280952932,1.570063447
2.850649289,1.281160859,1.569488429
2.85027849,1.281362005,1.568916485
2.849904256,1.281556501,1.568347755
2.849526855,1.281744481,1.567782374
2.849146555,1.281926081,1.567220474
2.848763618,1.282101436,1.566662182
2.848378301,1.282270681,1.56610762
2.84799086,1.282433954,1.565556906
2.847601544,1.28259139,1.565010154
2.8472106,1.282743127,1.564467473
2.846818268,1.282889303,1.563928965
2.846424786,1.283030056,1.56339473
2.846030386,1.283165523,1.562864863
2.845635296,1.283295843,1.562339453
2.845239737,1.283421153,1.561818585
2.844843929,1.283541591,1.561302338
2.844448083,1.283657295,1.560790788
2.844052408,1.283768403,1.560284005
2.843657106,1.283875051,1.559782055
2.843262373,1.283977376,1.559284997
2.842868402,1.284075515,1.558792888
2.84247538,1.284169603,1.558305777
2.842083486,1.284259776,1.557823711
2.841692898,1.284346167,1.557346731
2.841303783,1.284428911,1.556874872
2.840916307,1.28450814,1.556408167
2.840530628,1.284583987,1.55594664
2.840146898,1.284656583,1.555490315
2.839765265,1.284726057,1.555039208
2.83938587,1.284792539,1.554593331
2.839008847,1.284856156,1.554152692
2.838634327,1.284917035,1.553717293
2.838262433,1.284975301,1.553287132
2.837893282,1.285031079,1.552862203
2.837526987,1.285084491,1.552442496
2.837163652,1.285135659,1.552027994
2.836803379,1.285184701,1.551618678
2.836446259,1.285231737,1.551214523
2.836092383,1.285276882,1.550815501
2.835741831,1.285320252,1.550421579
2.835394679,1.28536196,1.550032719
2.835050999,1.285402117,1.549648882
2.834710854,1.285440833,1.54927002
2.834374303,1.285478216,1.548896086
2.834041398,1.285514372,1.548527025
2.833712186,1.285549404,1.548162782
2.833386709,1.285583415,1.547803294
2.833065001,1.285616504,1.547448497
2.832747094,1.28564877,1.547098323
2.832433009,1.285680308,1.546752701
2.832122767,1.285711212,1.546411556
2.831816381,1.285741573,1.546074808
2.831513857,1.28577148,1.545742376
2.831215198,1.285801022,1.545414176
2.830920401,1.285830281,1.545090119
2.830629457,1.285859342,1.544770115
2.830342353,1.285888284,1.544454069
2.83005907,1.285917185,1.544141885
2.829779584,1.28594612,1.543833464
2.829503867,1.285975163,1.543528704
2.829231885,1.286004384,1.5432275
2.8289636,1.286033852,1.542929747
2.828698968,1.286063633,1.542635335
2.828437942,1.286093789,1.542344153
2.82818047,1.286124383,1.542056087
2.827926496,1.286155472,1.541771024
2.827675958,1.286187112,1.541488846
2.827428792,1.286219357,1.541209434
2.827184928,1.286252259,1.540932669
2.826944294,1.286285865,1.540658429
2.826706813,1.286320222,1.540386591
2.826472404,1.286355374,1.54011703
2.826240982,1.286391361,1.539849622
2.826012461,1.286428222,1.539584239
2.825786749,1.286465994,1.539320755
2.825563751,1.28650471,1.539059041
2.82534337,1.286544402,1.538798968
2.825125506,1.286585098,1.538540408
2.824910055,1.286626824,1.53828323
2.82469691,1.286669605,1.538027304
2.824485963,1.286713463,1.5377725
2.824277103,1.286758416,1.537518687
2.824070216,1.286804481,1.537265735
2.823865185,1.286851673,1.537013512
2.823661894,1.286900005,1.536761889
2.823460221,1.286949485,1.536510736
2.823260044,1.287000121,1.536259923
2.823061242,1.28705192,1.536009321
2.822863687,1.287104884,1.535758802
2.822667253,1.287159014,1.535508239
2.822471813,1.28721431,1.535257504
2.822277238,1.287270767,1.535006471
2.822083397,1.287328381,1.534755016
2.821890159,1.287387144,1.534503015
2.821697392,1.287447047,1.534250345
2.821504965,1.287508078,1.533996886
2.821312743,1.287570225,1.533742518
2.821120595,1.287633472,1.533487123
2.820928385,1.287697802,1.533230583
2.820735981,1.287763197,1.532972785
2.820543249,1.287829635,1.532713614
2.820350056,1.287897095,1.532452961
