11:00,11:35,12:15,12:50,1:25,2:00
7.48,11.92,9.29,1.33E+01,1.24E+01,2.28E+01
5.83,27.65,9.36,1.13E+01,7.47E+00,5.90E+00
42.14,177.04,15.78,1.55E+01,6.67E+00,-5.27E-01
2.77,15.16,13.64,9.77E+00,1.28E+01,4.04E+00
8.25,23.54,24.94,3.05E+01,1.76E-01,1.77E+01
13.24,16.62,-5.43,1.29E+01,1.02E+01,4.82E+00
1.05,18.69,51.29,1.06E+01,9.67E+00,-5.09E+00
6.99,25.11,14.22,1.24E+01,3.32E+00,-6.47E+00
111.05,20.77,6.43,1.15E+01,2.71E+00,3.21E+00
1.87,35.78,12.65,2.78E+01,7.97E+00,6.16E-01
36.64,14.51,4.12,2.14E+01,1.10E+01,9.90E+00
13.42,13.78,4.39,1.01E+01,2.14E+01,-1.39E+01
2.88,27.91,7.59,6.35E+01,9.75E+00,3.50E+01
11.92,12.52,5.78,1.70E+01,7.52E+00,-6.83E+00
4.90,39.86,0.73,1.26E+01,-2.55E+00,6.40E+00
5.57,7.87,7.66,4.86E+00,-1.02E+00,2.77E+00
39.51,36.93,1.56,3.20E+01,1.09E+01,3.95E+00
30.60,11.22,2.81,1.54E+01,6.82E+00,2.44E+00
27.19,11.57,13.41,1.59E+01,1.05E+01,-1.54E+00
1.13,3.60,-2.39,7.38E+01,6.66E+00,1.91E+01
0.13,52.44,22.12,8.82E+00,4.96E+00,1.70E+01
4.11,14.36,2.22,2.23E+00,1.75E+02,4.62E+00
12.03,14.99,5.36,8.67E+00,1.01E+01,5.07E+00
7.11,11.25,1.16,1.49E+01,1.53E+01,-5.15E+00
6.13,10.44,-4.83,1.73E+01,6.45E+00,3.77E+01
0.99,39.11,3.23,1.01E+01,1.06E+01,1.03E+01
3.47,17.40,9.82,1.79E+01,1.43E+00,-4.12E+00
-2.46,28.54,3.91,5.44E+00,1.78E+00,-1.04E+00
26.90,10.54,11.81,1.96E+01,1.04E+01,1.28E+01
18.79,21.60,7.18,1.08E+01,5.44E+00,6.32E+00
14.75,46.28,5.67,1.08E+01,6.49E+00,1.23E+00
45.49,29.77,26.83,1.63E+01,3.55E+00,-4.00E-02
9.14,23.33,-3.81,2.12E+01,8.84E+01,-6.50E-03
9.79,32.60,-2.78,1.15E+01,1.08E+01,-9.89E-01
16.80,37.47,19.49,4.69E+00,5.38E+01,6.69E+00
101.24,61.31,2.82,1.43E+01,7.74E+00,-7.62E+00
18.86,17.22,11.13,2.76E+01,2.51E+01,5.09E-01
9.99,37.84,7.00,1.69E+01,1.79E+01,1.42E+00
1.12,23.46,5.49,1.53E+01,1.10E+01,-8.59E+00
4.11,2.31,2.10,9.59E+00,1.93E+01,-9.44E+00
4.70,44.09,13.58,1.14E+01,1.48E+01,7.41E+00
19.21,14.64,2.48,1.78E+00,5.26E+00,1.06E+01
40.58,8.63,34.99,7.94E+00,1.61E+00,-5.45E+00
12.57,21.60,2.22,5.79E+00,3.50E+01,-3.10E+00
-0.63,14.93,5.08,8.09E+00,2.75E+01,4.59E-01
25.68,24.34,1.55,1.24E+01,3.52E+00,6.33E+01
82.18,22.44,-0.32,8.78E+00,2.91E+01,-7.16E+00
0.64,28.10,5.55,1.44E+01,2.56E+01,-1.05E+01
4.39,54.36,-0.01,7.40E+00,1.23E+01,1.11E+01
9.65,23.12,-1.55,2.80E+00,8.45E+00,6.96E+00
4.36,3.62,-0.16,5.99E+00,7.84E+00,1.01E+01
-4.12,31.49,13.68,5.70E+00,4.29E+00,5.95E+01
10.67,17.59,2.10,1.45E+01,3.73E-01,-7.98E+00
10.80,8.19,12.05,1.84E+01,1.44E+00,1.46E+01
23.39,6.98,2.59,9.63E+00,5.13E+01,-7.69E-03
2.87,16.62,-3.22,3.90E+00,4.12E+01,-7.58E+00
3.81,101.87,2.20,8.38E+00,2.20E+01,-4.71E+00
6.10,39.11,4.55,6.61E+00,1.39E+01,3.74E+00
35.90,12.62,12.20,1.19E+01,1.60E+01,2.18E+00
-5.91,50.38,-6.08,4.67E+00,1.17E+01,-5.55E+00
0.14,15.60,22.64,7.61E+00,1.89E+01,-5.49E+00
37.58,29.40,5.63,1.68E+01,1.04E+01,-1.11E+01
5.04,16.42,2.49,1.40E+01,4.40E+01,5.61E-01
22.57,26.44,18.08,1.10E+01,1.63E+01,-4.23E+00
5.60,45.98,7.67,1.56E+01,7.57E+00,-1.23E+00
3.18,28.54,4.74,1.63E+01,9.95E+00,9.99E+00
1.38,20.42,5.83,8.66E+00,1.56E+01,-3.16E+00
