,Bscat,Time,Denuder
552,50.72,11:00,Yes
553,22.34,11:00,Yes
554,5.99,11:00,Yes
555,25.83,11:00,Yes
556,19.11,11:00,Yes
557,31.54,11:00,Yes
558,16.1,11:00,Yes
559,24.38,11:00,Yes
560,14.19,11:00,Yes
561,7.16,11:00,Yes
562,9.1,11:00,Yes
563,6.68,11:00,Yes
564,8.69,11:00,Yes
565,8.46,11:00,Yes
566,4.75,11:00,Yes
567,3.84,11:00,Yes
568,4.55,11:00,Yes
569,19.5,11:00,Yes
570,2.45,11:00,Yes
571,-0.07,11:00,Yes
572,5.07,11:00,Yes
573,20.53,11:00,Yes
574,6.37,11:00,Yes
575,7.09,11:00,Yes
576,5.03,11:00,Yes
577,2.86,11:00,Yes
578,3.94,11:00,Yes
579,9.54,11:00,Yes
580,3.81,11:00,Yes
581,5.52,11:00,Yes
582,28.16,11:00,Yes
583,7.63,11:00,Yes
584,17.56,11:00,Yes
585,8.92,11:00,Yes
586,14.42,11:00,Yes
587,4.07,11:00,Yes
588,8.39,11:00,Yes
589,35.86,11:00,Yes
590,27.18,11:00,Yes
591,11.47,11:00,Yes
592,9.32,11:00,Yes
593,9.48,11:00,Yes
594,23.83,11:00,Yes
595,11.72,11:00,Yes
596,4.14,11:00,Yes
597,12.47,11:00,Yes
598,19.08,11:00,Yes
599,0.91,11:00,Yes
600,12.73,11:00,Yes
601,9.93,11:00,Yes
602,23.32,11:00,Yes
603,11.71,11:00,Yes
604,26.44,11:00,Yes
605,13.86,11:00,Yes
606,2.97,11:00,Yes
607,19.5,11:00,Yes
608,9.35,11:00,Yes
609,10.34,11:00,Yes
610,11.52,11:00,Yes
611,15.01,11:00,Yes
612,6.55,11:00,Yes
613,11.45,11:00,Yes
614,24.32,11:00,Yes
615,41.81,11:00,Yes
616,2.38,11:00,Yes
617,3.8,11:00,Yes
618,7.6,11:00,Yes
619,12.17,11:00,Yes
620,2.76,11:00,Yes
621,70,11:00,Yes
622,32.1,11:00,Yes
623,2.79,11:00,Yes
624,29.49,11:00,Yes
625,6.71,11:00,Yes
626,9.41,11:00,Yes
627,2.8,11:00,Yes
628,3.06,11:00,Yes
629,30.57,11:00,Yes
630,6.35,11:00,Yes
631,18.65,11:00,Yes
632,15.01,11:00,Yes
633,5.95,11:00,Yes
634,18.18,11:00,Yes
635,25.82,11:00,Yes
636,7.59,11:00,Yes
637,14.21,11:00,Yes
638,11.18,11:00,Yes
639,13.26,11:00,Yes
640,9.12,11:00,Yes
641,11.89,11:00,Yes
642,51.19,11:00,Yes
643,9.7,11:00,Yes
644,4.5,11:00,Yes
645,10.33,11:00,Yes
646,3.62,11:00,Yes
647,7.32,11:00,Yes
648,19.58,11:00,Yes
649,7.59,11:00,Yes
650,22.63,11:00,Yes
651,11.65,11:00,Yes
652,17.29,11:00,Yes
653,5.74,11:00,Yes
654,16.74,11:00,Yes
655,14.3,11:00,Yes
656,25.88,11:00,Yes
657,23.32,11:00,Yes
658,8.21,11:00,Yes
659,5.75,11:00,Yes
660,31.38,11:00,Yes
661,15.49,11:00,Yes
662,9.03,11:00,Yes
663,3.9,11:00,Yes
664,21.18,11:00,Yes
665,3.08,11:00,Yes
666,11.87,11:00,Yes
667,14.61,11:00,Yes
668,5.3,11:00,Yes
669,67.06,11:00,Yes
670,7.63,11:00,Yes
671,22.29,11:00,Yes
672,6.03,11:00,Yes
673,17.78,11:00,Yes
674,3.02,11:00,Yes
675,3.84,11:00,Yes
676,7.94,11:00,Yes
677,18.46,11:00,Yes
678,9.28,11:00,Yes
679,60.42,11:00,Yes
680,99.19,11:00,Yes
681,3.63,11:00,Yes
682,41.69,11:00,Yes
683,31.12,11:00,Yes
684,3.91,11:00,Yes
685,2.33,11:00,Yes
686,1.94,11:00,Yes
687,4.9,11:00,Yes
688,1.01,11:00,Yes
689,6.37,11:00,Yes
690,10.65,11:00,Yes
691,12.17,11:00,Yes
692,3.48,11:00,Yes
693,5.77,11:00,Yes
694,9.65,11:00,Yes
