11:00,11:35,12:15,12:50,1:25,2:00
12.06,18.19,1.70,3.09E+00,3.26E+01,-5.48E+00
4.99,17.46,-0.09,2.60E+00,2.43E+01,-6.72E+00
5.37,23.79,8.06,-1.34E+00,2.42E+01,-9.48E+00
9.44,20.41,2.56,4.44E+00,2.68E+01,-6.55E+00
10.79,21.64,5.87,3.46E+00,2.52E+01,-9.67E+00
3.33,19.49,-0.03,2.30E+00,2.85E+01,-9.60E+00
0.80,24.08,6.45,7.04E+00,3.10E+01,-1.02E+01
1.79,13.05,3.08,2.33E+00,2.72E+01,-1.30E+01
0.03,18.83,3.61,3.37E+00,2.89E+01,-1.14E+01
-1.16,15.69,6.97,1.33E+00,2.58E+01,-3.65E+00
2.02,18.09,5.81,1.23E+00,2.74E+01,-1.06E+01
5.66,21.83,1.06,4.16E+00,3.26E+01,-4.53E+00
-1.14,11.22,5.32,2.01E+00,3.10E+01,-1.29E+01
-3.38,21.61,3.94,3.35E+00,3.17E+01,-6.12E+00
3.87,18.50,3.60,-5.24E-01,2.82E+01,-1.31E+01
2.92,16.70,5.68,1.85E+00,3.43E+01,-7.34E+00
5.68,15.23,6.48,2.82E-01,2.49E+01,-9.59E+00
4.41,11.39,1.08,3.58E+00,2.57E+01,-3.09E+00
1.43,20.14,8.45,1.63E+00,2.31E+01,-9.95E+00
-0.94,18.26,8.78,-4.22E-01,2.73E+01,-1.14E+01
-2.55,24.70,-0.85,-2.39E+00,2.56E+01,-9.89E+00
4.24,14.81,6.39,-4.36E+00,2.51E+01,-1.95E+00
6.60,19.68,4.96,3.51E+00,2.65E+01,-5.32E+00
5.70,14.13,4.00,-5.45E+00,2.10E+01,-8.85E+00
6.76,18.93,5.45,-2.60E+00,2.68E+01,-7.82E+00
8.07,15.73,2.86,-4.54E+00,1.94E+01,-7.98E+00
6.68,15.20,-4.36,-1.52E+00,3.35E+01,-7.37E+00
10.30,14.72,-2.48,3.38E+00,3.03E+01,-6.87E+00
4.23,12.36,6.14,-1.84E+00,2.68E+01,-1.09E+01
3.94,13.64,1.80,2.34E-01,2.12E+01,-1.21E+01
4.18,9.39,-0.11,2.87E+00,2.30E+01,-6.84E+00
6.47,12.16,1.55,-4.89E-01,2.08E+01,-4.54E+00
6.45,13.29,5.72,6.30E+00,2.38E+01,-3.08E+00
4.33,14.42,5.14,2.23E+00,2.71E+01,-8.49E+00
1.06,12.98,9.84,6.74E-01,1.72E+01,-5.02E+00
5.63,11.93,0.05,-5.46E+00,2.61E+01,-9.28E+00
5.44,14.86,8.29,-8.14E-01,2.50E+01,-1.12E+01
-1.57,13.00,6.24,-2.76E+00,1.76E+01,-7.80E+00
3.36,8.86,-0.50,2.46E+00,2.05E+01,-9.15E+00
7.23,14.48,-1.54,-4.78E+00,2.44E+01,-8.75E+00
6.71,9.92,3.80,2.96E+00,2.19E+01,-1.02E+01
4.15,15.81,6.28,1.99E+00,2.01E+01,-1.41E+01
3.73,14.53,-0.07,-1.60E+00,2.50E+01,-8.04E+00
1.54,4.11,0.83,-2.47E+00,1.69E+01,-1.72E+01
4.32,10.88,9.12,-5.58E+00,1.44E+01,-5.45E+00
2.22,8.15,6.96,-2.46E-01,1.28E+01,-8.06E+00
6.83,13.26,2.65,3.08E+00,1.39E+01,-1.24E+01
2.90,16.76,0.40,-4.90E-01,1.67E+01,-1.21E+01
4.74,15.49,1.69,3.73E+00,1.64E+01,-5.68E+00
4.91,18.18,-0.03,5.91E+00,1.16E+01,2.88E+00
7.02,19.90,2.11,-5.42E+00,2.26E+01,-2.47E+00
7.41,13.39,0.85,-3.94E+00,1.93E+01,-1.14E+01
5.39,16.19,4.83,-4.70E+00,1.98E+01,-6.23E+00
8.45,5.24,1.14,5.06E+00,2.92E+00,-1.13E+01
8.45,3.49,-1.72,1.09E+00,3.24E+00,-1.11E+01
5.80,-0.81,-4.81,-3.00E+00,2.34E+00,-1.26E+01
