,Bext,Time,Denuder
589,3.23E+00,11:00,Yes
590,1.15E+01,11:00,Yes
591,1.06E+01,11:00,Yes
592,2.12E+01,11:00,Yes
593,4.05E+00,11:00,Yes
594,1.96E+00,11:00,Yes
595,9.42E+00,11:00,Yes
596,6.54E+00,11:00,Yes
597,4.08E+00,11:00,Yes
598,1.19E+01,11:00,Yes
599,2.14E+01,11:00,Yes
600,1.58E+00,11:00,Yes
601,8.01E+00,11:00,Yes
602,1.35E+01,11:00,Yes
603,1.15E+01,11:00,Yes
604,8.22E+00,11:00,Yes
605,1.67E+01,11:00,Yes
606,1.54E+01,11:00,Yes
607,2.39E+01,11:00,Yes
608,2.62E+01,11:00,Yes
609,1.22E+01,11:00,Yes
610,4.00E+01,11:00,Yes
611,3.97E+00,11:00,Yes
612,4.55E+00,11:00,Yes
613,7.52E+00,11:00,Yes
614,1.83E+01,11:00,Yes
615,7.87E-01,11:00,Yes
616,2.83E+01,11:00,Yes
617,1.26E+01,11:00,Yes
618,5.32E-01,11:00,Yes
619,2.97E+01,11:00,Yes
620,6.63E+00,11:00,Yes
621,2.58E+01,11:00,Yes
622,8.35E+00,11:00,Yes
623,4.25E+00,11:00,Yes
624,8.26E+00,11:00,Yes
625,3.39E+01,11:00,Yes
626,7.24E+00,11:00,Yes
627,1.54E+00,11:00,Yes
628,1.30E+01,11:00,Yes
629,2.21E+01,11:00,Yes
630,1.36E+01,11:00,Yes
631,2.49E+01,11:00,Yes
632,3.31E+01,11:00,Yes
633,9.82E-01,11:00,Yes
634,9.75E+00,11:00,Yes
635,2.95E+00,11:00,Yes
636,1.56E+00,11:00,Yes
637,2.85E+01,11:00,Yes
638,5.98E+00,11:00,Yes
639,1.66E+01,11:00,Yes
640,9.18E+00,11:00,Yes
641,3.03E+01,11:00,Yes
642,1.60E+02,11:00,Yes
643,1.98E+01,11:00,Yes
644,3.09E+01,11:00,Yes
645,2.79E+01,11:00,Yes
646,7.37E+00,11:00,Yes
647,1.01E+01,11:00,Yes
648,1.74E+01,11:00,Yes
649,2.12E+01,11:00,Yes
650,2.58E+01,11:00,Yes
651,4.53E+00,11:00,Yes
652,3.53E+01,11:00,Yes
653,5.81E+00,11:00,Yes
654,1.69E+01,11:00,Yes
655,5.92E+01,11:00,Yes
656,1.24E+01,11:00,Yes
657,5.10E+00,11:00,Yes
658,1.87E+01,11:00,Yes
659,1.39E+01,11:00,Yes
660,1.02E+01,11:00,Yes
661,1.31E+01,11:00,Yes
662,1.32E+01,11:00,Yes
663,1.27E+01,11:00,Yes
664,1.54E+01,11:00,Yes
