Bscat 	Time 	Denuder 
2.23E+01	11:00	With denuder
1.21E+01	11:00	With denuder
3.14E+01	11:00	With denuder
1.85E+01	11:00	With denuder
3.72E+01	11:00	With denuder
4.99E+01	11:00	With denuder
2.08E+01	11:00	With denuder
1.50E+01	11:00	With denuder
3.64E+01	11:00	With denuder
1.08E+01	11:00	With denuder
7.86E+00	11:00	With denuder
1.24E+01	11:00	With denuder
3.51E+01	11:00	With denuder
1.27E+00	11:00	With denuder
1.25E+01	11:00	With denuder
3.97E+01	11:00	With denuder
8.65E+00	11:00	With denuder
2.73E+01	11:00	With denuder
3.37E+01	11:00	With denuder
5.41E+01	11:00	With denuder
1.76E+01	11:00	With denuder
1.86E+01	11:00	With denuder
3.82E+01	11:00	With denuder
1.00E+01	11:00	With denuder
5.11E+00	11:00	With denuder
1.43E+01	11:00	With denuder
5.51E+00	11:00	With denuder
2.12E+01	11:00	With denuder
1.32E+01	11:00	With denuder
1.59E+01	11:00	With denuder
8.35E+00	11:00	With denuder
1.14E+00	11:00	With denuder
4.66E+01	11:00	With denuder
3.64E+01	11:00	With denuder
2.88E+01	11:00	With denuder
1.14E+01	11:00	With denuder
1.24E+01	11:00	With denuder
6.25E+00	11:00	With denuder
3.81E+00	11:00	With denuder
8.16E+00	11:00	With denuder
9.72E+00	11:00	With denuder
1.48E+01	11:00	With denuder
1.47E+01	11:00	With denuder
9.35E+00	11:00	With denuder
1.77E+01	11:00	With denuder
4.93E+01	11:00	With denuder
7.10E+00	11:00	With denuder
1.49E+01	11:00	With denuder
4.76E+01	11:00	With denuder
2.26E+01	11:00	With denuder
1.64E+01	11:00	With denuder
5.85E+01	11:00	With denuder
8.04E+00	11:00	With denuder
7.92E+00	11:00	With denuder
8.71E+00	11:00	With denuder
4.50E+01	11:00	With denuder
7.65E+00	11:00	With denuder
1.56E+01	11:00	With denuder
1.25E+01	11:00	With denuder
1.33E+01	11:00	With denuder
1.44E+02	11:00	With denuder
3.52E+01	11:00	With denuder
1.49E+01	11:00	With denuder
1.20E+01	11:00	With denuder
7.01E+01	11:00	With denuder
7.97E+01	11:00	With denuder
5.82E+01	11:00	With denuder
1.21E+01	11:00	With denuder
7.92E+00	11:00	With denuder
2.89E+01	11:00	With denuder
2.07E+01	11:00	With denuder
8.07E+00	11:00	With denuder
4.01E+01	11:00	With denuder
8.09E+00	11:00	With denuder
6.69E+00	11:00	With denuder
1.43E+01	11:00	With denuder
1.65E+01	11:00	With denuder
1.14E+01	11:00	With denuder
1.06E+01	11:00	With denuder
1.25E+01	11:00	With denuder
2.20E+01	11:00	With denuder
2.04E+01	11:00	With denuder
1.60E+01	11:00	With denuder
1.02E+01	11:00	With denuder
1.73E+01	11:00	With denuder
2.17E+01	11:00	With denuder
3.48E+01	11:00	With denuder
5.46E+00	11:00	With denuder
3.12E+01	11:00	With denuder
2.44E+01	11:00	With denuder
2.48E+01	11:00	With denuder
6.38E+00	11:00	With denuder
2.00E+01	11:00	With denuder
3.34E+01	11:00	With denuder
7.17E+00	11:00	With denuder
3.65E+00	11:00	With denuder
2.22E+01	11:00	With denuder
2.66E+01	11:00	With denuder
2.97E+01	11:00	With denuder
1.84E+01	11:00	With denuder
2.69E+01	11:00	With denuder
2.28E+01	11:00	With denuder
