,Bscat ,Time ,Denuder 
473,1.49E+00,0.46,With denuder
474,1.00E+01,0.46,With denuder
475,3.84E+01,0.46,With denuder
476,1.75E+01,0.46,With denuder
477,5.27E+00,0.46,With denuder
478,5.44E+00,0.46,With denuder
479,1.73E+00,0.46,With denuder
480,4.37E+00,0.46,With denuder
481,4.87E+00,0.46,With denuder
482,3.38E+00,0.46,With denuder
483,6.28E+00,0.46,With denuder
484,3.54E+01,0.46,With denuder
485,2.63E+01,0.46,With denuder
486,4.34E+01,0.46,With denuder
487,2.50E+00,0.46,With denuder
488,7.09E+01,0.46,With denuder
489,1.99E+01,0.46,With denuder
490,9.60E+00,0.46,With denuder
491,1.23E+01,0.46,With denuder
492,1.02E+01,0.46,With denuder
493,4.79E+01,0.46,With denuder
494,1.27E+01,0.46,With denuder
495,2.22E+01,0.46,With denuder
496,1.70E+01,0.46,With denuder
497,3.96E+00,0.46,With denuder
498,5.36E+01,0.46,With denuder
499,1.06E+01,0.46,With denuder
500,6.82E+00,0.46,With denuder
501,1.08E+01,0.46,With denuder
502,3.30E+00,0.46,With denuder
503,4.50E+01,0.46,With denuder
504,4.81E+01,0.46,With denuder
505,3.31E+00,0.46,With denuder
506,1.87E+01,0.46,With denuder
507,1.19E+01,0.46,With denuder
508,8.33E+00,0.46,With denuder
509,2.80E+01,0.46,With denuder
510,7.65E+01,0.46,With denuder
511,7.13E+00,0.46,With denuder
512,4.04E+00,0.46,With denuder
513,3.14E+00,0.46,With denuder
514,7.00E+00,0.46,With denuder
515,2.00E+01,0.46,With denuder
516,1.39E+01,0.46,With denuder
517,6.46E+00,0.46,With denuder
518,5.43E+00,0.46,With denuder
519,1.90E+00,0.46,With denuder
520,7.47E+01,0.46,With denuder
521,1.45E+02,0.46,With denuder
522,4.10E+01,0.46,With denuder
523,3.04E+01,0.46,With denuder
524,1.30E+01,0.46,With denuder
525,1.90E+01,0.46,With denuder
526,5.24E+01,0.46,With denuder
527,2.12E+01,0.46,With denuder
528,3.36E+01,0.46,With denuder
529,1.40E+01,0.46,With denuder
530,1.14E+01,0.46,With denuder
531,5.72E+00,0.46,With denuder
532,5.04E+01,0.46,With denuder
533,4.58E+01,0.46,With denuder
534,4.11E+00,0.46,With denuder
535,1.23E+01,0.46,With denuder
536,7.11E+00,0.46,With denuder
537,2.21E+01,0.46,With denuder
538,7.75E+00,0.46,With denuder
539,2.06E+01,0.46,With denuder
540,3.27E+01,0.46,With denuder
541,2.23E+01,0.46,With denuder
542,1.21E+01,0.46,With denuder
543,3.14E+01,0.46,With denuder
544,1.85E+01,0.46,With denuder
545,3.72E+01,0.46,With denuder
546,4.99E+01,0.46,With denuder
547,2.08E+01,0.46,With denuder
548,1.50E+01,0.46,With denuder
549,3.64E+01,0.46,With denuder
550,1.08E+01,0.46,With denuder
551,7.86E+00,0.46,With denuder
552,1.24E+01,0.46,With denuder
553,3.51E+01,0.46,With denuder
554,1.27E+00,0.46,With denuder
555,1.25E+01,0.46,With denuder
556,3.97E+01,0.46,With denuder
557,8.65E+00,0.46,With denuder
558,2.73E+01,0.46,With denuder
559,3.37E+01,0.46,With denuder
560,5.41E+01,0.46,With denuder
561,1.76E+01,0.46,With denuder
562,1.86E+01,0.46,With denuder
563,3.82E+01,0.46,With denuder
564,1.00E+01,0.46,With denuder
565,5.11E+00,0.46,With denuder
566,1.43E+01,0.46,With denuder
567,5.51E+00,0.46,With denuder
568,2.12E+01,0.46,With denuder
569,1.32E+01,0.46,With denuder
570,1.59E+01,0.46,With denuder
571,8.35E+00,0.46,With denuder
572,1.14E+00,0.46,With denuder
573,4.66E+01,0.46,With denuder
574,3.64E+01,0.46,With denuder
575,2.88E+01,0.46,With denuder
576,1.14E+01,0.46,With denuder
577,1.24E+01,0.46,With denuder
578,6.25E+00,0.46,With denuder
579,3.81E+00,0.46,With denuder
580,8.16E+00,0.46,With denuder
581,9.72E+00,0.46,With denuder
582,1.48E+01,0.46,With denuder
583,1.47E+01,0.46,With denuder
584,9.35E+00,0.46,With denuder
585,1.77E+01,0.46,With denuder
586,4.93E+01,0.46,With denuder
587,7.10E+00,0.46,With denuder
588,1.49E+01,0.46,With denuder
