,Babs,Time,Denuder
868,-7.72,11:00,Yes
869,-1.02,11:00,Yes
870,-3.65,11:00,Yes
871,3.34,11:00,Yes
872,-4.13,11:00,Yes
873,1.81,11:00,Yes
874,-5.71,11:00,Yes
875,-4.99,11:00,Yes
876,-10.61,11:00,Yes
877,-2.45,11:00,Yes
878,-10.91,11:00,Yes
879,-7.19,11:00,Yes
880,-0.48,11:00,Yes
881,-2.22,11:00,Yes
882,0.87,11:00,Yes
883,-5.44,11:00,Yes
884,-5.21,11:00,Yes
885,-7.86,11:00,Yes
886,-5.96,11:00,Yes
887,-4.01,11:00,Yes
888,-3.5,11:00,Yes
889,-3.41,11:00,Yes
890,-7.85,11:00,Yes
891,-8.62,11:00,Yes
892,0.63,11:00,Yes
893,-6.21,11:00,Yes
894,-1.67,11:00,Yes
895,-2.47,11:00,Yes
896,-6.18,11:00,Yes
897,-5.08,11:00,Yes
898,-1.19,11:00,Yes
899,-14.25,11:00,Yes
900,-10.64,11:00,Yes
901,-3.85,11:00,Yes
902,-4.07,11:00,Yes
903,0.47,11:00,Yes
904,-3.79,11:00,Yes
905,-1.77,11:00,Yes
906,-5.25,11:00,Yes
907,-6.45,11:00,Yes
908,-5.08,11:00,Yes
909,-6.4,11:00,Yes
910,-4.81,11:00,Yes
911,-11.91,11:00,Yes
912,-6.44,11:00,Yes
913,-3.04,11:00,Yes
914,1.23,11:00,Yes
915,-8.89,11:00,Yes
916,-12.41,11:00,Yes
917,-15.09,11:00,Yes
918,-5.29,11:00,Yes
919,-4.82,11:00,Yes
920,-3.06,11:00,Yes
921,-7.7,11:00,Yes
922,-7.51,11:00,Yes
923,-5.52,11:00,Yes
924,-2.57,11:00,Yes
925,-15.09,11:00,Yes
926,-6.39,11:00,Yes
927,-3.78,11:00,Yes
928,-6.08,11:00,Yes
929,-5.66,11:00,Yes
930,-9.6,11:00,Yes
931,-12.44,11:00,Yes
932,-18.6,11:00,Yes
933,-10.3,11:00,Yes
934,-7.57,11:00,Yes
935,-12.89,11:00,Yes
936,-20.81,11:00,Yes
