,Babs,Time,Denuder
375,6.54E+00,11:00,Yes
376,3.36E+00,11:00,Yes
377,3.19E+00,11:00,Yes
378,1.09E+01,11:00,Yes
379,5.87E+00,11:00,Yes
380,6.59E+00,11:00,Yes
381,7.05E+00,11:00,Yes
382,8.10E+00,11:00,Yes
383,5.94E+00,11:00,Yes
384,4.36E+00,11:00,Yes
385,8.76E+00,11:00,Yes
386,8.05E+00,11:00,Yes
387,3.93E+00,11:00,Yes
388,3.95E+00,11:00,Yes
389,5.53E+00,11:00,Yes
390,8.87E+00,11:00,Yes
391,6.26E+00,11:00,Yes
392,4.19E+00,11:00,Yes
393,1.20E+01,11:00,Yes
394,8.45E+00,11:00,Yes
395,7.05E+00,11:00,Yes
396,1.29E+01,11:00,Yes
397,5.53E+00,11:00,Yes
398,4.80E+00,11:00,Yes
399,6.76E+00,11:00,Yes
400,4.08E+00,11:00,Yes
401,6.52E+00,11:00,Yes
402,5.60E+00,11:00,Yes
403,2.83E+00,11:00,Yes
404,2.35E+00,11:00,Yes
405,8.21E+00,11:00,Yes
406,1.92E+00,11:00,Yes
407,9.47E+00,11:00,Yes
408,-1.07E+00,11:00,Yes
409,4.67E+00,11:00,Yes
410,5.05E+00,11:00,Yes
411,9.12E+00,11:00,Yes
412,8.38E+00,11:00,Yes
413,2.65E+00,11:00,Yes
414,1.16E+01,11:00,Yes
415,3.55E+00,11:00,Yes
416,7.65E+00,11:00,Yes
417,-4.19E-01,11:00,Yes
418,2.78E+00,11:00,Yes
419,4.48E+00,11:00,Yes
420,5.83E+00,11:00,Yes
421,7.41E-01,11:00,Yes
422,7.00E+00,11:00,Yes
423,7.76E+00,11:00,Yes
424,4.22E+00,11:00,Yes
425,7.02E+00,11:00,Yes
426,2.75E+00,11:00,Yes
427,5.96E+00,11:00,Yes
428,4.31E+00,11:00,Yes
429,1.28E+01,11:00,Yes
430,1.97E+00,11:00,Yes
431,2.41E+00,11:00,Yes
432,4.12E+00,11:00,Yes
433,1.63E+00,11:00,Yes
434,6.36E+00,11:00,Yes
435,1.50E+00,11:00,Yes
436,8.69E+00,11:00,Yes
437,6.43E+00,11:00,Yes
438,5.56E+00,11:00,Yes
439,5.90E+00,11:00,Yes
440,3.79E+00,11:00,Yes
441,3.08E+00,11:00,Yes
442,5.79E+00,11:00,Yes
443,5.85E+00,11:00,Yes
444,1.36E+01,11:00,Yes
445,4.00E+00,11:00,Yes
446,2.21E+00,11:00,Yes
447,4.81E+00,11:00,Yes
448,4.89E+00,11:00,Yes
449,6.34E+00,11:00,Yes
450,7.70E+00,11:00,Yes
451,6.90E+00,11:00,Yes
452,5.33E+00,11:00,Yes
453,2.53E+00,11:00,Yes
454,6.91E+00,11:00,Yes
455,9.50E-01,11:00,Yes
456,1.06E+00,11:00,Yes
457,1.73E+00,11:00,Yes
458,5.62E+00,11:00,Yes
459,-1.87E-01,11:00,Yes
460,9.80E+00,11:00,Yes
461,4.50E+00,11:00,Yes
462,2.48E+00,11:00,Yes
463,6.55E+00,11:00,Yes
464,1.01E+01,11:00,Yes
465,4.30E+00,11:00,Yes
466,6.93E+00,11:00,Yes
467,1.04E+01,11:00,Yes
468,7.20E+00,11:00,Yes
469,5.37E+00,11:00,Yes
470,9.78E+00,11:00,Yes
471,8.21E+00,11:00,Yes
472,6.39E+00,11:00,Yes
473,7.67E+00,11:00,Yes
474,-8.38E-01,11:00,Yes
475,6.30E+00,11:00,Yes
476,3.20E+00,11:00,Yes
477,1.50E+00,11:00,Yes
478,3.15E+00,11:00,Yes
479,6.27E+00,11:00,Yes
480,2.34E+00,11:00,Yes
481,1.11E+01,11:00,Yes
482,5.75E+00,11:00,Yes
483,9.65E+00,11:00,Yes
484,1.65E+01,11:00,Yes
485,9.84E+00,11:00,Yes
486,9.92E+00,11:00,Yes
487,8.76E+00,11:00,Yes
488,7.86E+00,11:00,Yes
489,7.59E+00,11:00,Yes
490,2.78E+00,11:00,Yes
491,4.00E+00,11:00,Yes
492,1.16E+01,11:00,Yes
493,5.15E+00,11:00,Yes
494,8.97E+00,11:00,Yes
495,9.31E+00,11:00,Yes
496,7.13E+00,11:00,Yes
497,1.17E+01,11:00,Yes
498,4.17E+00,11:00,Yes
499,3.65E+00,11:00,Yes
500,1.28E+01,11:00,Yes
501,6.13E+00,11:00,Yes
502,5.13E+00,11:00,Yes
503,5.99E+00,11:00,Yes
504,6.87E+00,11:00,Yes
505,5.21E+00,11:00,Yes
506,3.14E+00,11:00,Yes
507,6.54E+00,11:00,Yes
508,5.90E+00,11:00,Yes
509,3.20E+00,11:00,Yes
510,9.49E+00,11:00,Yes
511,5.41E+00,11:00,Yes
512,8.09E+00,11:00,Yes
513,8.72E-01,11:00,Yes
514,5.94E+00,11:00,Yes
515,8.01E+00,11:00,Yes
516,1.08E+01,11:00,Yes
517,1.18E+01,11:00,Yes
518,7.01E+00,11:00,Yes
519,3.93E+00,11:00,Yes
520,9.57E+00,11:00,Yes
521,8.75E+00,11:00,Yes
522,1.28E+01,11:00,Yes
523,7.28E+00,11:00,Yes
524,1.12E+01,11:00,Yes
525,6.99E+00,11:00,Yes
526,2.93E+00,11:00,Yes
527,1.17E+01,11:00,Yes
528,1.21E+01,11:00,Yes
529,1.25E+01,11:00,Yes
530,6.57E+00,11:00,Yes
531,4.80E+00,11:00,Yes
532,1.80E+00,11:00,Yes
533,9.65E-01,11:00,Yes
534,3.05E+00,11:00,Yes
535,1.04E+01,11:00,Yes
536,-2.71E-01,11:00,Yes
537,6.12E+00,11:00,Yes
538,6.37E+00,11:00,Yes
539,1.66E-01,11:00,Yes
540,6.15E+00,11:00,Yes
541,5.58E+00,11:00,Yes
542,4.44E+00,11:00,Yes
543,5.57E+00,11:00,Yes
544,3.04E+00,11:00,Yes
545,2.14E+00,11:00,Yes
546,-9.24E-01,11:00,Yes
547,5.31E+00,11:00,Yes
548,1.35E+00,11:00,Yes
549,6.05E+00,11:00,Yes
550,3.10E+00,11:00,Yes
551,3.94E+00,11:00,Yes
552,3.86E+00,11:00,Yes
553,2.75E+00,11:00,Yes
554,-2.16E-01,11:00,Yes
555,5.83E+00,11:00,Yes
556,1.12E+00,11:00,Yes
557,1.86E+00,11:00,Yes
558,2.56E+00,11:00,Yes
559,4.28E+00,11:00,Yes
560,9.56E-01,11:00,Yes
561,2.37E+00,11:00,Yes
562,4.52E+00,11:00,Yes
563,1.29E+00,11:00,Yes
564,3.81E+00,11:00,Yes
565,-9.24E-02,11:00,Yes
566,5.16E+00,11:00,Yes
567,4.49E+00,11:00,Yes
568,2.13E+00,11:00,Yes
569,5.75E+00,11:00,Yes
570,5.03E+00,11:00,Yes
571,8.92E-01,11:00,Yes
572,9.66E+00,11:00,Yes
573,5.27E+00,11:00,Yes
574,2.90E+00,11:00,Yes
575,7.83E+00,11:00,Yes
576,3.98E+00,11:00,Yes
577,2.10E+00,11:00,Yes
578,-2.27E+00,11:00,Yes
579,2.63E+00,11:00,Yes
580,4.67E+00,11:00,Yes
581,2.85E+00,11:00,Yes
582,2.73E+00,11:00,Yes
583,5.31E+00,11:00,Yes
584,4.04E+00,11:00,Yes
585,-3.61E+00,11:00,Yes
586,4.01E+00,11:00,Yes
587,1.54E+00,11:00,Yes
588,-2.53E-01,11:00,Yes
589,4.97E+00,11:00,Yes
590,-2.30E+00,11:00,Yes
591,-3.65E+00,11:00,Yes
592,-4.12E+00,11:00,Yes
593,2.10E+00,11:00,Yes
594,9.98E-01,11:00,Yes
595,4.77E+00,11:00,Yes
596,6.57E+00,11:00,Yes
597,-1.54E+00,11:00,Yes
598,1.13E+00,11:00,Yes
599,3.28E+00,11:00,Yes
600,-1.03E+00,11:00,Yes
601,1.05E+00,11:00,Yes
602,-5.83E-02,11:00,Yes
603,3.61E+00,11:00,Yes
604,2.90E+00,11:00,Yes
605,2.59E+00,11:00,Yes
606,2.12E+00,11:00,Yes
607,1.89E+00,11:00,Yes
608,-5.56E-01,11:00,Yes
609,4.82E+00,11:00,Yes
610,9.01E-01,11:00,Yes
611,2.12E+00,11:00,Yes
612,8.35E+00,11:00,Yes
613,4.12E+00,11:00,Yes
614,-8.79E-01,11:00,Yes
615,1.91E+00,11:00,Yes
616,7.97E-01,11:00,Yes
617,1.27E+00,11:00,Yes
618,-1.06E+00,11:00,Yes
619,1.91E+00,11:00,Yes
620,-2.77E+00,11:00,Yes
621,4.52E+00,11:00,Yes
622,-3.58E-01,11:00,Yes
623,-2.25E+00,11:00,Yes
624,-4.45E-02,11:00,Yes
625,-9.72E-01,11:00,Yes
626,-1.83E+00,11:00,Yes
627,6.65E+00,11:00,Yes
628,6.06E+00,11:00,Yes
629,5.57E+00,11:00,Yes
630,1.27E+00,11:00,Yes
631,1.51E+00,11:00,Yes
632,-5.36E+00,11:00,Yes
633,1.21E+00,11:00,Yes
