11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
0.85,12.0459,20.06,1.25E+01,1.07E+01,-7.26E-01
9.30,18.91626,0.49,8.21E+00,-4.07E+00,6.19E-01
8.01,9.82312,3.42,1.04E+01,1.51E+01,1.48E+00
6.88,5.576965,6.30,9.53E+00,-4.72E+00,2.89E+01
14.78,52.11584,38.05,3.32E+01,7.64E+01,2.30E+01
5.68,9.521606,4.53,2.62E+01,-1.08E+00,3.31E+01
2.83,46.95532,5.60,1.01E+01,-7.45E-01,1.91E+01
8.75,6.457642,5.81,6.85E+00,1.05E+01,1.80E+01
3.96,10.04523,3.17,1.14E+01,2.66E-01,2.21E+00
2.06,18.42194,29.72,3.45E+01,9.42E-01,1.31E+01
5.97,52.70447,3.81,5.38E+01,1.59E+01,5.41E+00
0.28,21.54224,48.43,1.31E+01,-1.02E+00,2.07E+00
1.81,19.93787,4.86,1.25E+01,-5.16E+00,1.14E+01
17.15,20.00336,18.81,7.16E+00,-2.79E+00,2.59E+00
5.73,40.74774,3.80,6.90E+00,3.50E+00,2.52E+00
9.93,39.31769,7.62,2.13E+01,7.19E+00,6.97E+00
2.56,28.30322,0.52,9.98E+00,2.62E+01,4.07E+00
10.39,16.19226,2.00,4.62E+01,8.72E+00,6.27E+00
11.67,18.89197,3.09,2.70E+01,-8.30E+00,9.45E+00
6.66,16.95044,4.75,5.32E+00,7.78E+00,2.93E+00
12.57,28.07526,36.44,7.76E+00,3.53E-01,1.62E+01
5.65,22.86908,23.99,1.70E+01,6.84E+00,9.66E+00
5.73,21.3363,4.26,7.59E+00,-2.69E+00,6.06E+00
8.07,6.208191,9.96,7.70E+00,-3.01E+00,4.98E+00
3.09,48.69421,8.43,2.18E+01,1.03E+01,4.91E+00
11.07,16.77057,5.08,5.60E+00,-3.67E+00,2.31E+00
6.03,25.91718,14.23,1.40E+01,-2.09E+00,2.72E+00
8.93,14.90417,7.71,9.44E+00,1.67E+01,1.02E+01
6.54,21.21045,42.36,3.94E+01,-7.83E+00,2.86E+00
17.26,11.16711,3.20,1.77E+01,-5.55E+00,1.29E+01
57.08,10.22162,24.46,2.38E+01,1.99E+01,8.86E+00
19.13,25.78876,7.68,7.94E+00,-5.58E+00,8.76E+00
23.72,23.03998,12.13,3.77E+00,-6.60E+00,1.36E+01
20.46,47.22522,4.85,1.19E+01,5.17E-01,1.79E+01
3.95,23.9234,12.18,4.22E+01,-1.56E+00,2.27E+01
1.51,64.24817,-0.63,3.18E+01,-3.05E+00,4.32E+00
42.80,71.46411,4.71,8.71E+00,1.60E+00,6.27E+00
4.20,54.00195,14.62,2.30E+01,1.05E+01,2.47E+01
1.72,4.504944,0.01,1.48E+01,-5.17E+00,2.62E+01
10.09,9.221924,6.08,7.41E+00,-4.64E+00,9.83E+00
0.27,26.79614,28.41,7.89E+01,-7.60E+00,1.82E+02
6.93,63.25946,2.95,8.80E+00,-6.77E+00,8.35E+00
9.64,9.53302,2.30,1.87E+01,-3.85E+00,6.50E+00
3.92,60.50635,5.73,8.77E+00,2.34E+01,1.54E+01
13.43,12.52466,5.29,1.31E+01,-4.70E+00,4.88E+01
13.16,20.37622,2.31,2.57E+01,-4.86E+00,5.53E+01
1.84,16.1236,2.07,2.79E+01,5.23E+00,1.73E+01
5.44,8.637573,30.64,4.83E+01,-7.62E+00,1.22E+01
12.88,20.29474,4.32,9.29E+00,5.86E+00,3.24E+00
6.82,60.28778,0.28,2.28E+01,2.03E+00,1.38E+00
19.59,66.73572,43.32,8.22E+00,4.81E+01,6.08E+00
21.20,42.86407,3.74,1.91E+01,5.99E+00,2.61E+00
