2016,2017,2018,2019,2020,2021
25.1,28.7,34.8,19,19.7,23.4
24.5,40.2,26.9,15.4,29.9,36.3
30.9,39,22,16.8,28.3,32
28.9,20.6,17.5,20.2,22.7,32.7
23.8,33.5,22.1,22.8,26.3,22.2
30.6,24.7,23.2,18.7,27.2,17
29.2,37.1,24.1,20,23.5,15.9
39.9,46.1,18.3,16.4,38.3,12.9
30.7,30.3,18.1,18,36.6,16.4
30.1,26.5,23.9,16.7,31.1,19.9
30.7,26.8,27,17.3,32.1,13.4
24.6,26.6,36.4,19.9,37.1,16.1
25.6,30,29,20.7,26.6,13.8
35.6,35.3,26.2,19.7,25.6,14.7
18.9,40.5,32.4,29,97.4,20.5
33.6,47.2,42.5,9.3,38.9,27.2
27.6,58,30.9,21,50.4,20.4
18.7,31.1,26.3,20.8,41.4,30.2
20.9,32.4,26.2,20,35.1,22.6
15.6,36.7,22.5,18.1,30.8,32.4
24.8,35.4,37.4,15.9,42.8,32.3
20.6,29.7,26.6,24.4,46.5,62.4
22.3,28.5,26.5,25.8,47.7,43.7
23,24.3,24.5,21.1,49.6,29.4
25.6,28.7,28.7,20.6,50.9,22.6
33.6,21.4,17.6,24.8,38.3,19.9
15.7,25.7,17.7,37.2,33.1,21.6
16.2,26,40.9,40.8,31.2,27.3
29.2,25,38.3,20.8,73.4,24.6
30.9,23,16.6,13.9,71.1,28.1
32.5,35.4,14.6,27,48.2,32.6
38.6,25.7,20.4,42,47.6,35
42.1,25.4,18.3,27.9,51.7,23.1
28.5,39.7,18.1,23.5,38,25.9
24.2,39.2,18.2,31.2,28.2,34.6
25.1,28,14.8,29.1,28.6,67
28.2,42.7,16.7,31.9,33.5,15
30.7,30.9,17.7,27.7,38.5,28.2
40.4,25.4,16.2,39.5,33.7,37.9
37.3,26,21.2,29.3,36.3,32.9
40.5,32,17.2,22.9,39,27.1
44,37.2,19,26.4,38.7,40
47.6,46.5,22.3,42.8,68.5,20.4
33.4,36.9,30,30.4,14,30.4
25.3,26.8,26.6,59.7,12.8,36.8
33,40.3,35.5,23.5,18.1,46.8
36.7,47.9,37.1,33,35.3,44.7
45.1,59.1,22.2,29,30,39.9
44,34.7,19.8,30,13.9,24.5
36.6,35.8,18.8,32,17.8,24
,39.2,25.3,41.1,32.5,29.8
31.5,48,18.1,22.6,42.4,27.6
26.1,53.4,24.9,16.4,22.4,44.4
22.6,38.2,27.9,29.2,30.1,33.1
28,34.3,25.1,31.5,33.2,
24.9,42.6,28,25.2,50.4,
21.4,20.5,24,37,33.1,
23.7,17.4,24.4,18.7,18.1,
21,17.6,31.7,19.1,28.1,
17.9,36,29.3,27.2,35.2,
19.7,42.3,22.3,29,31.8,
20.9,47.1,27.7,32.4,34.1,
24.4,42.5,56.5,37.9,27.6,
32.9,35.4,50,37.5,31.8,
33.5,36.1,43.5,31,33.8,
,42.8,34.4,16.2,41.8,
53.4,41.3,44.6,18.8,47.8,
26.1,29.7,37.5,13.8,52.9,
23.9,16.9,25.9,27.1,32.3,
28.6,17.9,49.9,12,35.4,
34.2,18.3,41.5,15.2,39.8,
21,23.2,19.3,31.9,34.8,
38.8,17.5,20.3,14.8,23.3,
25.8,31.5,23.8,11.9,32.8,
23.3,39.3,39.5,20.4,34.4,
23.5,18.5,38.9,13.4,16.8,
33,35.3,34.5,18.8,20.5,
35.2,39.9,33.9,25,29.4,
18.6,30.4,59,19.2,24.3,
23.5,21.6,18.3,15.2,17.1,
55.7,27.1,17.9,24.7,19.9,
32.7,,33.2,25.3,30.2,
15.8,,34.8,19.3,34.2,
30.2,,46.7,11.8,30.9,
16.2,,63.3,17.8,44.9,
21.2,,23.2,28.7,45.6,
30.5,,30.7,15.8,72.3,
20.1,,28.8,12.3,41.9,
19.6,,25.9,15.7,14.7,
22.5,,24,25.3,16.4,
23.2,,24,11.8,17.9,
23.1,,33.5,12.8,43.1,
20.8,,35,19,17.9,
28.1,,39.8,36,15.8,
35.4,,35.4,31.2,33.7,
54.5,,22.5,30.9,28.3,
149.9,,14.6,28.6,19.6,
24.8,,16.7,51.3,19.6,
33.3,,35.9,31.8,30.9,
57.5,,24.2,12.2,24,
41.8,,17.7,14.2,55.4,
17.5,,18.7,14.6,20.2,
19.3,,33.8,9.8,32.5,
26.3,,38.1,8.3,20.2,
13.7,,19.5,12.9,24.8,
20.3,,15.7,23.9,46.3,
18.5,,16,,25.7,
19.5,,12.6,,18.7,
19.4,,15.5,,18.9,
16.3,,35.7,,,
16.4,,,,,
