,Bscat,Time,Denuder
520,1.90E+01,11:00,Yes
521,9.39E+00,11:00,Yes
522,4.94E+00,11:00,Yes
523,4.23E+00,11:00,Yes
524,2.15E+00,11:00,Yes
525,6.71E-01,11:00,Yes
526,7.73E+01,11:00,Yes
527,1.62E+01,11:00,Yes
528,2.50E+00,11:00,Yes
529,2.53E+01,11:00,Yes
530,1.59E+01,11:00,Yes
531,4.32E+00,11:00,Yes
532,2.96E+00,11:00,Yes
533,4.48E+01,11:00,Yes
534,2.27E+01,11:00,Yes
535,4.98E+00,11:00,Yes
536,2.01E+01,11:00,Yes
537,7.48E+00,11:00,Yes
538,7.06E+00,11:00,Yes
539,1.75E+01,11:00,Yes
540,3.19E+00,11:00,Yes
541,9.56E+00,11:00,Yes
542,3.29E+01,11:00,Yes
543,7.86E+00,11:00,Yes
544,1.14E+01,11:00,Yes
545,4.40E+00,11:00,Yes
546,7.03E+00,11:00,Yes
547,1.18E+01,11:00,Yes
548,9.36E+00,11:00,Yes
549,1.91E+01,11:00,Yes
550,3.43E+01,11:00,Yes
551,4.22E+00,11:00,Yes
552,4.31E+00,11:00,Yes
553,9.14E-01,11:00,Yes
554,2.79E+01,11:00,Yes
555,2.32E+01,11:00,Yes
556,3.20E+01,11:00,Yes
557,1.64E+01,11:00,Yes
558,2.64E+00,11:00,Yes
559,2.37E+00,11:00,Yes
560,5.07E+00,11:00,Yes
561,2.37E+01,11:00,Yes
562,1.35E+01,11:00,Yes
563,1.17E+01,11:00,Yes
564,3.41E+01,11:00,Yes
565,6.89E+00,11:00,Yes
566,2.14E+00,11:00,Yes
567,4.01E+00,11:00,Yes
568,6.92E+00,11:00,Yes
569,2.29E+01,11:00,Yes
570,1.56E+01,11:00,Yes
571,6.90E+00,11:00,Yes
572,9.48E+00,11:00,Yes
573,3.27E+00,11:00,Yes
574,4.74E+00,11:00,Yes
575,1.17E+01,11:00,Yes
576,3.82E+00,11:00,Yes
577,1.73E+01,11:00,Yes
578,3.34E+01,11:00,Yes
579,5.62E+01,11:00,Yes
580,4.94E+00,11:00,Yes
581,6.72E+00,11:00,Yes
582,6.54E+00,11:00,Yes
583,1.34E+01,11:00,Yes
584,2.28E+01,11:00,Yes
585,3.85E+00,11:00,Yes
586,6.72E+00,11:00,Yes
587,1.18E+01,11:00,Yes
588,3.29E+00,11:00,Yes
589,4.13E+00,11:00,Yes
590,4.13E+00,11:00,Yes
591,1.54E+01,11:00,Yes
592,4.78E+00,11:00,Yes
593,1.80E+01,11:00,Yes
594,1.16E+01,11:00,Yes
595,7.38E+00,11:00,Yes
596,2.22E+01,11:00,Yes
597,5.19E+00,11:00,Yes
598,1.68E+01,11:00,Yes
599,7.86E+00,11:00,Yes
600,1.72E+01,11:00,Yes
601,1.01E+01,11:00,Yes
602,7.44E+00,11:00,Yes
603,9.88E+00,11:00,Yes
604,1.96E+01,11:00,Yes
605,6.62E+00,11:00,Yes
606,5.44E+00,11:00,Yes
