Qext,Qscat,Qabs
2.908630661,1.462154997,1.446475664
2.908503652,1.462495332,1.446008319
2.908374422,1.462835574,1.445538848
2.908242888,1.463175682,1.445067205
2.908108966,1.463515619,1.444593347
2.907972576,1.463855343,1.444117233
2.90783364,1.464194814,1.443638826
2.907692079,1.464533989,1.44315809
2.90754782,1.464872828,1.442674992
2.907400787,1.465211285,1.442189502
2.90725091,1.465549319,1.441701591
2.907098119,1.465886885,1.441211234
2.906942347,1.466223939,1.440718408
2.906783529,1.466560436,1.440223093
2.906621601,1.46689633,1.439725271
2.906456502,1.467231577,1.439224926
2.906288174,1.46756613,1.438722044
2.906116559,1.467899942,1.438216616
2.905941603,1.468232969,1.437708634
2.905763254,1.468565163,1.43719809
2.905581461,1.468896478,1.436684983
2.905396177,1.469226866,1.436169311
2.905207357,1.469556282,1.435651076
2.905014958,1.469884678,1.43513028
2.904818939,1.470212007,1.434606931
2.904619261,1.470538224,1.434081037
2.904415889,1.47086328,1.433552609
2.904208789,1.471187131,1.433021658
2.90399793,1.471509728,1.432488201
2.903783283,1.471831027,1.431952255
2.903564821,1.472150982,1.431413839
2.903342522,1.472469547,1.430872975
2.903116363,1.472786677,1.430329686
2.902886325,1.473102326,1.429783999
2.902652391,1.473416451,1.42923594
2.902414548,1.473729007,1.428685541
2.902172783,1.474039952,1.428132831
2.901927086,1.474349241,1.427577846
2.901677451,1.474656832,1.42702062
2.901423873,1.474962683,1.426461191
2.90116635,1.475266753,1.425899597
2.90090488,1.475569,1.42533588
2.900639468,1.475869385,1.424770083
2.900370116,1.476167868,1.424202248
2.900096833,1.47646441,1.423632423
2.899819627,1.476758974,1.423060653
2.899538509,1.47705152,1.422486989
2.899253494,1.477342014,1.42191148
2.898964597,1.477630419,1.421334179
2.898671836,1.477916699,1.420755137
2.898375232,1.478200822,1.42017441
2.898074806,1.478482753,1.419592053
2.897770583,1.47876246,1.419008123
2.897462589,1.479039911,1.418422678
2.897150854,1.479315076,1.417835778
2.896835406,1.479587925,1.417247482
2.89651628,1.479858429,1.416657852
2.896193509,1.48012656,1.416066949
2.89586713,1.480392292,1.415474838
2.89553718,1.480655598,1.414881582
2.895203699,1.480916454,1.414287245
2.89486673,1.481174836,1.413691894
2.894526316,1.481430721,1.413095595
2.894182502,1.481684087,1.412498415
2.893835334,1.481934914,1.41190042
2.893484861,1.482183182,1.41130168
2.893131134,1.482428872,1.410702262
2.892774203,1.482671967,1.410102236
2.892414121,1.48291245,1.409501671
