Cext,Cscat,Cabs
9044.513166,598.5704657,8445.9427
9283.989133,626.6733731,8657.31576
9528.240387,655.8543523,8872.386035
9777.333108,686.1449938,9091.188114
10031.33387,717.5774765,9313.756395
10290.30963,750.184569,9540.125066
10554.32772,783.9996286,9770.328091
10823.4558,819.0566016,10004.3992
11097.76188,855.3900221,10242.37186
11377.3143,893.035011,10484.27929
11662.18168,932.027274,10730.1544
11952.43294,972.4030994,10980.02985
12248.13728,1014.199356,11233.93792
12549.36412,1057.453488,11491.91064
12856.18314,1102.203515,11753.97962
13168.66421,1148.488025,12020.17618
13486.87739,1196.346169,12290.53122
13810.89294,1245.817658,12565.07528
14140.78122,1296.942757,12843.83847
14476.61276,1349.762277,13126.85049
14818.45817,1404.317571,13414.1406
15166.38814,1460.650522,13705.73762
15520.47342,1518.803541,14001.66988
15880.7848,1578.819551,14301.96525
16247.39305,1640.741987,14606.65107
16620.36896,1704.614775,14915.75418
16999.78322,1770.482334,15229.30089
17385.7065,1838.389553,15547.31695
17778.20934,1908.381789,15869.82755
18177.36216,1980.504848,16196.85731
18583.23521,2054.804976,16528.43023
18995.89857,2131.328842,16864.56973
19415.42211,2210.123529,17205.29858
19841.87543,2291.236513,17550.63891
20275.32786,2374.715651,17900.61221
20715.84845,2460.609166,18255.23928
21163.50587,2548.965625,18614.54025
21618.36846,2639.833928,18978.53453
22080.50411,2733.263285,19347.24083
22549.98033,2829.303199,19720.67713
23026.86412,2928.003447,20098.86068
23511.222,3029.41406,20481.80794
24003.11994,3133.585301,20869.53464
24502.62336,3240.567644,21262.05572
25009.79706,3350.411755,21659.3853
25524.70521,3463.168464,22061.53674
26047.41131,3578.888747,22468.52256
26577.97815,3697.6237,22880.35445
27116.46779,3819.424515,23297.04328
27662.94151,3944.342456,23718.59905
28217.45977,4072.42883,24145.03094
28780.08219,4203.734969,24576.34722
29350.86752,4338.312193,25012.55533
29929.87358,4476.211794,25453.66179
30517.15725,4617.484999,25899.67225
31112.77443,4762.182949,26350.59148
31716.77999,4910.356668,26806.42332
32329.22774,5062.057035,27267.17071
32950.17044,5217.334754,27732.83568
33579.65968,5376.240325,28203.41935
34217.74593,5538.824016,28678.92191
34864.47845,5705.13583,29159.34262
35519.90531,5875.225478,29644.67983
36184.0733,6049.142345,30134.93095
36857.02793,6226.935463,30630.09246
37538.8134,6408.653478,31130.15992
38229.47255,6594.344617,31635.12794
38929.04687,6784.056661,32144.99021
39637.57642,6977.836911,32659.73951
40355.09982,7175.732159,33179.36766
41081.65425,7377.788654,33703.8656
41817.27538,7584.05207,34233.22331
42561.99736,7794.567481,34767.42988
43315.8528,8009.379323,35306.47348
44078.87275,8228.531366,35850.34138
44851.08664,8452.066683,36399.01996
45632.52232,8680.027622,36952.4947
46423.20597,8912.455769,37510.7502
47223.16211,9149.391927,38073.77018
48032.41359,9390.876078,38641.53751
48850.98157,9636.947361,39214.03421
49678.88545,9887.644037,39791.24142
50516.14294,10143.00347,40373.13948
51362.76998,10403.06208,40959.7079
52218.78072,10667.85534,41550.92538
53084.18756,10937.41773,42146.76983
53959.0011,11211.78274,42747.21836
54843.23012,11490.98279,43352.24733
55736.88159,11775.04926,43961.83233
56639.96068,12064.01245,44575.94823
57552.4707,12357.90155,45194.56915
58474.41313,12656.74459,45817.66854
59405.78761,12960.5685,46445.21912
60346.59194,13269.39899,47077.19295
61296.82207,13583.26062,47713.56145
